"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
122,21.24,98.03,21.89,103.91,18.1,76.75,21.62,98.96
339,11.51,39.1,13.73,47.84,5.8,29.03,12.81,41.09
346,15.3,120.14,17.35,136.99,12.19,81.91,15.36,118.55
401,27.34,78.94,28.78,62.15,21.85,89.65,27.64,78.85
422,23.84,118.36,17.15,108.95,32.75,130.11,24.99,122.68
449,37.37,161.04,43.58,190.64,23.59,104.53,34.79,154.37
540,20.3,103.73,24.48,114.06,12.17,65.69,19.6,101.95
614,27.13,72.39,28.37,74.18,23.48,63.2,27.54,72.95
619,18.39,121.88,19.66,123.09,16.14,108.02,17.37,122.85
620,8.88,69.67,6.86,91.81,12.46,42.95,8.63,66.49
686,21.08,103.95,21.58,135.1,20.15,70.13,21.1,93.67
836,25.75,127.95,25.94,128.49,23.43,115.67,26.4,126.02
888,27.14,81.5,26.47,62.03,25.76,98.57,27.85,89.35
1086,21.65,87.68,26.02,93.01,14.47,70.79,21.27,95.08
1111,5.83,6.23,7.57,14.13,4.72,2.9,3.99,12.53
1262,10.49,77.77,7.31,83.03,13.17,76.38,11.29,84.99
1389,10.09,51.11,5.09,44.14,11.79,47.42,11.24,58.78
1629,22.05,97.67,17.62,101.18,25.6,87.44,21.99,99.24
1719,15.01,20.54,17.66,14.94,8.23,16.68,14.03,28.25
1727,13.76,107.79,16.21,106.57,11.33,98.39,13.24,105.21
1731,35.23,116.56,43.38,126.47,20.52,102.73,32.98,121.24
1895,7.54,34.28,4.49,25.62,15.16,41.46,11.2,38.57
1908,18.8,123.9,21.89,156.58,13.81,79.53,17.42,114.19
2068,7.83,27.29,7.18,24.78,8.65,26.67,8.23,28.99
2106,32.75,164.38,29.26,191.05,38.84,135.76,37.67,158.35
2199,21.46,95.88,18.38,76.02,24.39,106.35,22.32,108.33
2377,8.51,47.23,9.45,46.85,7.46,45.19,9.45,46.74
2421,11.7,12.09,16.77,-2.33,4.89,17.73,11.03,23.57
2537,18.54,62.8,12.63,49.24,26.84,72.1,23.37,68.78
2890,8.56,48.01,9.57,47.73,6.42,43.44,8.87,52.56
3136,16.79,87.26,20.8,110.02,11.9,56.49,16.6,81.54
3258,12.3,28.07,13.06,14.81,11.25,32.3,13.39,36.48
3361,9.77,25.51,9.49,19.3,8.83,24.23,9.35,24.79
3748,13.98,60.77,12.29,55.7,16.41,64.88,15.2,66.93
3939,8.66,51.53,9.63,58.56,9.3,44.24,8.95,45.6
4099,40.6,102.46,46.49,123.03,28.53,77.54,39,106.61
4472,15.41,65.81,16.85,66.43,12.6,55.66,15.3,66.17
4541,19.11,45.28,21.17,33.8,15.4,44.67,19.22,50.25
5243,15.9,44.06,20.73,41.36,10.16,42.61,14.78,47.06
5338,25.75,115.93,30.08,134.38,15.58,83.01,25.64,119.37
5549,16.68,96.16,13.79,98.31,17.69,72.63,17.63,98.1
5587,5.22,18.81,1.81,0.22,10.41,30.86,6.11,31.55
5724,8.81,42.22,7.72,37.4,8.32,34.76,10.24,47.46
5804,7.74,42.28,3.38,43.24,14.78,43.28,10.22,37.73
8590,6.39,23.68,6.66,23.87,8.99,23.75,5.81,27.85
8592,11.74,88.57,5.22,95.66,19.24,71.56,14.72,91.59
9033,7.09,8.75,3.21,-14.02,12.36,44.29,8.41,21.94
9072,38.74,114.23,37.28,82.96,38.08,147.49,38.18,131.8
10004,10.72,51.7,10.09,62.44,9.87,35.29,11.85,57.25
10224,9.6,82.85,11.35,91.05,8.26,57.32,9.3,77.69
10679,9.31,30.08,13.29,23.78,5.97,18.74,8.23,30.21
11318,12.34,45.72,13.13,35.79,11.84,48.2,13.38,49.86
11415,20.44,143.17,19.71,166.25,17.81,98.45,21.75,142.98
11425,12.3,28.13,11.77,30.69,11.11,23.43,11.21,24.48
