"match","R1","R2","R3","B1","B2","B3"
1,11415,1731,2537,9033,5115,623
2,5587,1727,5549,116,2199,8230
3,2421,9999,614,686,1599,5830
4,4099,4472,2106,5338,1915,5243
5,620,2377,888,9072,2186,449
6,4638,9033,5830,686,8230,422
7,116,5549,614,9999,1731,4472
8,623,2186,5243,11415,1915,9072
9,888,5587,2537,2199,2421,620
10,5338,4099,2377,1599,422,5115
11,449,2106,11415,614,4638,1727
12,2186,2537,9033,5830,5587,4472
13,4099,5549,2199,116,2377,1915
14,5115,2106,686,8230,888,449
15,9072,5338,2421,9999,422,1727
16,4638,1599,5243,1731,620,623
17,1915,614,2186,8230,2537,5115
18,5830,116,9072,9033,11415,2199
19,2377,1731,422,2106,9999,5587
20,4099,1727,1599,888,4472,4638
21,623,2421,686,5549,620,5338
22,449,5115,9999,5243,8230,5587
23,1915,1727,5830,1731,888,2186
24,11415,116,620,422,614,5338
25,9072,2199,2537,4638,686,4099
26,1599,449,5549,5243,9033,2106
27,2421,4472,8230,2377,623,11415
28,2199,2186,4638,2537,5338,9999
29,5115,9072,620,5549,5830,2106
30,449,5243,1731,422,116,2421
31,4472,686,1915,1599,2377,5587
32,1727,623,888,614,4099,9033
33,2106,4638,2421,2186,5115,116
34,5338,8230,1599,5587,9072,1731
35,1915,4099,9999,620,449,9033
36,888,422,2199,4472,623,5549
37,2537,5830,614,1727,5243,2377
38,686,5587,116,2186,11415,4099
